,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
3510,133.0,Entire guesthouse,1.0,1.0,1.0,City Park West
3511,640.0,Entire rental unit,2.0,2.0,3.0,Five Points
3512,99.0,Entire condominium (condo),1.0,1.5,1.0,Highland
3513,103.0,Private room in residential home,1.0,1.5,1.0,Stapleton
3516,450.0,Entire residential home,2.0,3.5,2.0,Highland
3517,112.0,Entire residential home,2.0,1.0,2.0,Villa Park
3518,339.0,Entire townhouse,4.0,3.0,4.0,West Colfax
3519,99.0,Entire condominium (condo),1.0,1.5,1.0,Highland
3520,153.0,Entire residential home,3.0,2.0,4.0,Cory - Merrill
3521,214.0,Entire townhouse,2.0,1.0,2.0,Highland
3522,220.0,Entire loft,1.0,1.0,1.0,West Colfax
3523,244.0,Entire rental unit,1.0,1.0,2.0,West Colfax
3524,310.0,Entire rental unit,1.0,1.0,2.0,West Colfax
3525,228.0,Entire rental unit,1.0,1.0,1.0,Union Station
3527,211.0,Entire residential home,2.0,2.0,2.0,Whittier
3528,303.0,Entire residential home,4.0,4.0,4.0,Gateway - Green Valley Ranch
3529,192.0,Entire residential home,2.0,2.5,2.0,Stapleton
3530,125.0,Private room in residential home,1.0,1.0,1.0,Congress Park
3531,150.0,Entire residential home,1.0,1.5,1.0,Cole
3532,225.0,Entire villa,3.0,2.0,4.0,Villa Park
3533,56.0,Entire loft,1.0,1.0,1.0,Five Points
3534,310.0,Entire residential home,4.0,5.0,5.0,Highland
3535,275.0,Entire residential home,5.0,4.5,0.0,Stapleton
3536,111.0,Entire condominium (condo),1.0,1.5,1.0,Union Station
3537,296.0,Entire townhouse,2.0,2.5,2.0,Berkeley
3538,120.0,Entire rental unit,2.0,1.0,1.0,Windsor
3539,85.0,Private room in condominium (condo),1.0,1.0,1.0,Hampden
3541,125.0,Entire guesthouse,2.0,1.0,3.0,Regis
3542,104.0,Entire guest suite,2.0,1.0,3.0,Cole
3543,139.0,Entire rental unit,2.0,1.0,2.0,Speer
3544,107.0,Entire guest suite,2.0,1.0,3.0,Westwood
